,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
3050,house,Independent,sector 43,5.5,28424.0,1935.0,Plot area 215(179.77 sq.m.),1,1,0,1.0,South-West,Undefined,,1935.0,,0,0,0,0,1,0,12
3051,house,unitech deerwood chase,sector 50,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),4,4,2,2.0,West,Moderately Old,,4500.0,,0,1,0,0,0,0,160
3052,house,unitech aspen greens,sector 50,6.95,4490.0,15479.0,Plot area 240(200.67 sq.m.)Built Up area: 2160 sq.yards (1806.04 sq.m.)Carpet area: 1720 sq.yards (1438.14 sq.m.),3,3,1,2.0,North-East,Moderately Old,,2160.0,1720.0,0,1,0,0,0,0,160
3053,house,ansals palam vihar,sector 2,5.7,14729.0,3870.0,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5,5,2,2.0,North-East,Undefined,,4550.0,4450.0,0,0,0,1,0,1,94
3054,house,international city by sobha phase 2,sector 109,11.3,25111.0,4500.0,Plot area 500(418.06 sq.m.)Built Up area: 480 sq.yards (401.34 sq.m.)Carpet area: 460 sq.yards (384.62 sq.m.),7,5,3,4.0,East,Relatively New,,480.0,460.0,1,1,0,1,1,0,49
3055,house,international city by sobha phase 2,sector 109,11.25,25000.0,4500.0,Plot area 500(418.06 sq.m.),7,5,3,4.0,North-East,Relatively New,,4500.0,,1,1,0,1,0,0,42
3057,house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3,4.0,East,Relatively New,,5400.0,,1,1,0,0,0,0,98
3065,house,Independent,sector 41,7.0,28283.0,2475.0,Plot area 275(229.94 sq.m.),7,7,3,3.0,South-West,Moderately Old,,2475.0,,1,1,1,1,0,1,151
3078,house,Independent,sector 7,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),4,5,3,1.0,North-East,Undefined,,3600.0,,1,1,0,1,0,0,31
3085,house,Independent,sector 26,6.0,33333.0,1800.0,Plot area 200(167.23 sq.m.),8,5,3,3.0,NotAvailable,Undefined,,1800.0,,0,0,0,0,0,2,9
