property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,puri the aravallis,sector 61,3.87,17200.0,2250.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),3,4,3+,21.0,East,Undefined,2250.0,,1249.65,0,1,0,0,0,0,58,750.0
flat,brisk lumbini terrace homes,sector 109,1.38,6338.0,2177.3,Carpet area: 2177 (202.25 sq.m.),3,3,1,4.0,,Moderately Old,,,2177.0,0,0,0,0,0,0,20,725.7666666666668
flat,huda ashok vihar phase,sector 4,0.43,6615.0,650.0,Carpet area: 650 (60.39 sq.m.),2,2,1,2.0,,Relatively New,,,650.0,0,0,0,0,0,0,7,325.0
flat,my home,new sector 2,0.28,3166.0,884.4,Carpet area: 900 (83.61 sq.m.),2,1,1,2.0,,Relatively New,,,900.0,0,0,0,0,1,0,15,442.2
flat,signature global city,sector 37d,1.1,9838.0,1118.1,Carpet area: 1118 (103.87 sq.m.),2,2,2,4.0,South,Undefined,,,1118.0,0,0,0,0,0,0,59,559.05
flat,m3m heights,sector 65,2.0,13957.0,1433.0,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,32.0,,Undefined,,1433.0,1000.0,0,0,0,0,0,0,48,716.5
flat,signature global park,sohna road,0.9,8035.0,1120.1,Super Built up area 1120(104.05 sq.m.),3,2,2,2.0,South,Undefined,1120.0,,,0,0,0,0,0,0,144,373.3666666666666
flat,signature global park,sohna road,0.9,8036.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3,2,0,2.0,,Undefined,,1120.0,,0,0,0,0,0,0,58,373.3333333333333
flat,godrej nature plus,sector 33,1.75,8768.0,1995.9,Built Up area: 1996 (185.43 sq.m.),3,3,0,2.0,,Undefined,,1996.0,,0,0,0,0,0,0,56,665.3000000000001
flat,supertech hues,sector 68,0.93,8611.0,1080.0,Carpet area: 1080 (100.34 sq.m.),2,2,2,11.0,,Undefined,,,1080.0,0,0,0,0,0,0,0,540.0
flat,dlf new town heights,sector 90,1.8,6600.0,2727.3,Super Built up area 2727(253.35 sq.m.),4,4,3+,23.0,,Moderately Old,2727.0,,,0,0,0,0,0,0,67,681.825
flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,1789.1,Super Built up area 1789(166.2 sq.m.),3,3,2,6.0,,Under Construction,1789.0,,,0,0,0,0,0,0,24,596.3666666666667
flat,ambience creacions,sector 22,2.0,14492.0,1380.1,Carpet area: 1380 (128.21 sq.m.),2,2,2,9.0,East,Relatively New,,,1380.0,0,0,0,0,0,0,49,690.05
flat,signature global city 63a,sector 63a,2.0,12800.0,1562.5,Built Up area: 1540 (143.07 sq.m.),3,3,2,1.0,North,Undefined,,1540.0,,0,0,0,0,0,0,36,520.8333333333334
flat,godrej oasis,sector 88a,1.29,7800.0,1653.8,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),3,3,3,5.0,,Undefined,1629.0,,1628.0,1,0,0,0,1,0,65,551.2666666666667
flat,m3m skycity,sector 65,2.85,15590.0,1828.1,Super Built up area 1828(169.83 sq.m.),3,3,3,43.0,South,Undefined,1828.0,,,0,0,0,0,0,0,115,609.3666666666667
flat,supertech araville,sector 79,1.1,5641.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3,3,3,1.0,,Relatively New,,,1950.0,0,0,0,0,0,2,106,650.0
flat,smart world orchard,sector 61,1.65,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,1.0,,Under Construction,,,1200.0,1,0,0,0,0,0,16,600.0
flat,hcbs sports ville,sohna road,0.24,7407.0,324.0,Carpet area: 324 (30.1 sq.m.),1,1,2,1.0,North,Undefined,,,324.0,0,0,0,0,0,0,68,324.0
flat,emaar palm premier,sector 77,2.1,10500.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,4,3+,11.0,,Undefined,2000.0,1600.0,1500.0,0,1,0,0,0,2,129,666.6666666666666
flat,godrej nature plus,sector 33,1.9,9849.0,1929.1,Carpet area: 1929 (179.21 sq.m.),3,3,3+,14.0,,New Property,,,1929.0,0,1,0,0,0,0,96,643.0333333333333
flat,godrej aria,sector 79,1.1,11482.0,958.0,Super Built up area 89,2,2,3,9.0,,Undefined,89.0,,,0,0,0,0,0,0,62,479.0
flat,ramsons kshitij,sector 95,0.32,4500.0,711.1,Super Built up area 700(65.03 sq.m.)Carpet area: 443.32 sq.ft. (41.19 sq.m.),2,2,1,8.0,,Relatively New,700.0,,443.32,0,0,0,0,1,1,28,355.55
flat,conscient one,sector 109,1.7,17617.0,965.0,Built Up area: 965 (89.65 sq.m.)Carpet area: 628 sq.ft. (58.34 sq.m.),1,1,2,9.0,,Undefined,,965.0,628.0,0,0,0,0,0,0,0,965.0
