property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
flat,eldeco accolade,sohna road,0.95,6542.0,2,2,3+,6.0,Relatively New,1180.65,1,0,0,0,0,2,56
flat,m3m heights,sector 65,3.0,18000.0,3,3,3,20.0,Under Construction,2010.8000000000002,0,0,0,0,0,0,60
flat,m3m heights,sector 65,3.67,17990.0,3,3,2,27.0,Relatively New,2244.0,0,1,0,0,0,0,43
flat,vatika sovereign next,sector 82a,3.85,7500.0,5,6,3+,6.0,Relatively New,4626.0,0,1,0,1,0,0,148
flat,m3m heights,sector 65,3.29,17997.0,3,3,3,33.0,New Property,2010.8000000000002,0,0,0,0,0,0,49
flat,m3m heights,sector 65,2.33,18477.0,2,2,3,35.0,Under Construction,1387.1000000000001,0,0,0,0,0,2,49
flat,m3m heights,sector 65,2.79,14168.0,3,3,3,26.0,New Property,2010.8000000000002,0,0,0,0,0,0,15
flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,0.0,Relatively New,2900.0,0,0,0,0,0,0,0
flat,allure homes,sector 12,0.72,7272.0,2,2,1,2.0,Relatively New,891.0,0,0,0,0,1,2,16
flat,zara aavaas,sector 104,0.4,7036.0,2,2,1,4.0,Relatively New,625.306,0,0,0,0,0,0,52
flat,sidhartha ncr one phase,sector 95,0.56,4105.0,2,2,2,10.0,Relatively New,1500.4,0,0,0,0,0,2,60
flat,chd avenue,sector 71,1.1,6790.0,3,3,3,11.0,Relatively New,1782.0000000000002,0,0,0,0,1,0,72
flat,ramprastha the edge towers,sector 37d,0.71,5420.0,2,2,3,10.0,Relatively New,1100.0,0,0,0,0,1,0,38
flat,supertech araville,sector 79,0.78,6024.0,2,2,3+,0.0,Relatively New,1424.5000000000002,0,0,0,0,1,0,74
flat,imperia aashiyara,sector 37c,0.4,5882.0,2,2,3,3.0,Under Construction,612.0,0,0,0,0,0,0,126
flat,la vida by tata housing,sector 113,1.85,11716.0,3,2,2,7.0,Relatively New,1736.9,0,0,0,0,0,0,13
flat,shapoorji pallonji joyville gurugram,sector 102,1.1,12181.0,2,2,1,8.0,Relatively New,993.3000000000001,0,0,0,0,0,0,105
flat,smart world orchard,sector 61,1.41,12250.0,2,2,2,2.0,New Property,1150.0,1,0,0,0,0,0,76
flat,supertech araville,sector 79,1.45,7455.0,3,3,3,3.0,Relatively New,1750.5,0,0,0,0,0,0,0
flat,smart world orchard,sector 61,2.2,13500.0,3,3,2,1.0,New Property,1440.0,0,0,0,0,0,0,49
